English,Tovian,IPA,Category
"the person","{% tovc ""ani-person"" %}","{% tovipa ""ani.person"" %}",Basics
"the city","{% tovc ""inan-city"" %}","{% tovipa ""inan.city"" %}",Basics
"sees","{% tovc ""aux_3_sim_prs sight"" %}","{% tovipa ""aux_3_sim_prs sight"" %}",Basics
"speaking","{% tovc ""speech"" %}","{% tovipa ""speech"" %}",Basics
"The person sees.","{% tovc ""ani-person aux_3_sim_prs sight"" %}","{% tovipa ""ani.person aux_3_sim_prs sight"" %}",Simple Sentence
"The person sees in the city.","{% tovc ""nom.ani-person aux_3_sim_prs sight def.loc.inan-city"" %}","{% tovipa ""nom.ani.person aux_3_sim_prs sight def.loc.inan.city"" %}",Simple Sentence
"Do you speak?","{% tovc ""int you aux_2_sim_prs speech"" %}","{% tovipa ""int you aux_2_sim_prs speech"" %}",Question
"the big person","{% tovc ""ani-person large"" %}","{% tovipa ""ani.person large"" %}",Attributive Noun
"The big person sees in the city.","{% tovc ""loc.inan-city large ani-person aux_3_sim_prs sight"" %}","{% tovipa ""loc.inan.city large ani.person aux_3_sim_prs sight"" %}",Attributive Noun
"In the city, the person sees.","{% tovc ""loc.inan-city ani-person aux_3_sim_prs sight"" %}","{% tovipa ""loc.inan.city ani.person aux_3_sim_prs sight"" %}",Emphasis/Fronting
"How did he speak?","{% tovc ""ins-what he aux_3_sim_pst speech"" %}","{% tovipa ""ins.what he aux_3_sim_pst speech"" %}",Question with Case
"Where does he speak?","{% tovc ""loc-what he aux_3_sim_prs speech"" %}","{% tovipa ""loc.what he aux_3_sim_prs speech"" %}",Question with Case
"The friend is speaking in the daytime.","{% tovc ""nom.ani-friend aux_3_cnt_prs speech def.temp.inan-daytime"" %}","{% tovipa ""nom.ani.friend aux_3_cnt_prs speech def.temp.inan.daytime"" %}",Simple Sentence
"A friend is speaking in the daytime.","{% tovc ""indef.ani-friend aux_3_cnt_prs speech def.temp.inan-daytime"" %}","{% tovipa ""indef.ani.friend aux_3_cnt_prs speech def.temp.inan.daytime"" %}",Simple Sentence
"Friends speak in the daytime.","{% tovc ""indef.abs-friend aux_3_hab_prs speech def.temp.inan-daytime"" %}","{% tovipa ""indef.abs.friend aux_3_hab_prs speech def.temp.inan.daytime"" %}",Simple Sentence
